comune,codice,gestore,km2,km2_comune,quota_comune,progetti,mw_richiesti,mw_per_km2,area_km2,Solare,Accumuli,Bioenergie,Idroelettrico
Aviano,AC001E01591,e-distribuzione,19.676203181778362,112.98558839857527,0.174,4.0,27.23193,0.2682948768472906,101.5,16.74193,9.99,0.5,0.0
Aviano,AC001E01599,e-distribuzione,2.2546143730642725,112.98558839857527,0.02,2.0,0.46238,0.0014422333125389,320.6,0.0,0.0,0.0,0.46238
Azzano Decimo,AC001E01586,e-distribuzione,41.056558763522474,51.49803119751441,0.797,2.0,41.229,0.4535643564356435,90.9,41.229,0.0,0.0,0.0
Azzano Decimo,AC001E00854,e-distribuzione,10.37267704537742,51.49803119751441,0.201,10.0,55.08892000000001,0.3586518229166667,153.6,55.06392,0.0,0.0,0.025
Bagnaria Arsa,AC001E01001,e-distribuzione,13.67352769602248,19.170111952979173,0.713,18.0,447.55024,3.2644072939460247,137.1,136.55724,310.93,0.0,0.063
Bagnaria Arsa,AC001E00998,e-distribuzione,5.496588749631332,19.170111952979173,0.287,11.0,60.05733,0.5628615745079663,106.7,58.50833,0.0,1.549,0.0
Barcis,AC001E01599,e-distribuzione,95.46877055694809,103.13629713924216,0.926,2.0,0.46238,0.0014422333125389,320.6,0.0,0.0,0.0,0.46238
Barcis,AC001E01593,e-distribuzione,7.174650566497823,103.13629713924216,0.07,0.0,0.0,0.0,113.2,0.0,0.0,0.0,0.0
Basiliano,AC001E01003,e-distribuzione,17.957523406482157,42.468859587468636,0.423,11.0,64.29962,0.2798068755439513,229.8,63.53962,0.0,0.76,0.0
Basiliano,AC001E01008,e-distribuzione,13.75237454470065,42.468859587468636,0.324,9.0,272.09524,2.762388223350254,98.5,19.09524,253.0,0.0,0.0
Basiliano,AC001E01010,e-distribuzione,10.679681068459557,42.468859587468636,0.251,4.0,119.37,0.7305385556915545,163.4,18.12,101.25,0.0,0.0
Bertiolo,AC001E01003,e-distribuzione,19.970149086307924,26.093598190486745,0.765,11.0,64.29962,0.2798068755439513,229.8,63.53962,0.0,0.76,0.0
Bertiolo,AC001E01002,e-distribuzione,6.123493816183544,26.093598190486745,0.235,7.0,44.5406,0.2423318824809575,183.8,44.2906,0.0,0.25,0.0
Bicinicco,AC001E01001,e-distribuzione,12.144006806479304,15.721372298242319,0.772,18.0,447.55024,3.2644072939460247,137.1,136.55724,310.93,0.0,0.063
Bicinicco,AC001E01002,e-distribuzione,3.3939887042092187,15.721372298242319,0.216,7.0,44.5406,0.2423318824809575,183.8,44.2906,0.0,0.25,0.0
Bordano,AC001E01019,e-distribuzione,14.534048266495644,15.409341961008783,0.943,5.0,5.84707,0.0117387472395101,498.1,0.0,0.0,0.0,5.84707
Brugnera,AC001E00876,e-distribuzione,29.14304822056449,29.40290570014468,0.991,2.0,18.00185,0.1665296022201665,108.1,18.00185,0.0,0.0,0.0
Budoia,AC001E01589,e-distribuzione,37.29116922701818,37.366079817713896,0.998,2.0,0.62849,0.004460539389638,140.9,0.0,0.0,0.5,0.12849
Buja,AC001E01015,e-distribuzione,25.259012939895307,25.383950694768295,0.995,1.0,111.9,0.6401601830663616,174.8,0.0,111.9,0.0,0.0
Buttrio,AC001E01006,e-distribuzione,17.791739970177726,17.948564996322474,0.991,11.0,73.47865,0.96050522875817,76.5,73.47865,0.0,0.0,0.0
Camino Al Tagliamento,AC001E01003,e-distribuzione,19.964710738302955,22.73325887651177,0.878,11.0,64.29962,0.2798068755439513,229.8,63.53962,0.0,0.76,0.0
Campoformido,AC001E01008,e-distribuzione,22.006734585753247,22.115290451270248,0.995,9.0,272.09524,2.762388223350254,98.5,19.09524,253.0,0.0,0.0
Campolongo Tapogliano,AC001E01001,e-distribuzione,5.779874071971194,10.935159175725492,0.529,18.0,447.55024,3.2644072939460247,137.1,136.55724,310.93,0.0,0.063
Campolongo Tapogliano,AC001E00998,e-distribuzione,4.965790689750745,10.935159175725492,0.454,11.0,60.05733,0.5628615745079663,106.7,58.50833,0.0,1.549,0.0
Caneva,AC001E01588,e-distribuzione,36.197008974142705,41.741190905555065,0.867,4.0,5.138,0.0478844361602982,107.3,5.01,0.0,0.0,0.128
Caneva,AC001E01589,e-distribuzione,5.365505860594148,41.741190905555065,0.129,2.0,0.62849,0.004460539389638,140.9,0.0,0.0,0.5,0.12849
Capriva Del Friuli,AC001E01000,e-distribuzione,6.190285627576964,6.190285627576963,1.0,3.0,22.937,0.2333367243133265,98.3,12.937,10.0,0.0,0.0
Carlino,AC001E00997,e-distribuzione,30.02289839777329,30.481574456656915,0.985,7.0,318.32444000000004,2.471463043478261,128.8,134.74644,182.579,0.999,0.0
Casarsa Della Delizia,AC001E01004,e-distribuzione,20.33952870909936,20.527822810649752,0.991,3.0,17.759999999999998,0.1314581791265729,135.1,7.26,10.0,0.5,0.0
Cassacco,AC001E01014,e-distribuzione,11.402603350034934,11.560694968165127,0.986,4.0,8.7516,0.0326187103988073,268.3,8.5336,0.0,0.0,0.218
Castelnovo Del Friuli,AC001E01017,e-distribuzione,22.690206291893098,22.69020629189311,1.0,2.0,3.8489,0.0163158117846545,235.9,3.8489,0.0,0.0,0.0
Castions Di Strada,AC001E01002,e-distribuzione,29.966361909104496,33.38123163165716,0.898,7.0,44.5406,0.2423318824809575,183.8,44.2906,0.0,0.25,0.0
Castions Di Strada,AC001E00997,e-distribuzione,3.325053312459958,33.38123163165716,0.1,7.0,318.32444000000004,2.471463043478261,128.8,134.74644,182.579,0.999,0.0
Cavasso Nuovo,AC001E01592,e-distribuzione,9.818067743260782,10.498047811627714,0.935,5.0,82.5958,0.4025136452241715,205.2,80.2958,0.0,2.3,0.0
Cavazzo Carnico,AC001E01019,e-distribuzione,38.75121090097715,38.75121090097712,1.0,5.0,5.84707,0.0117387472395101,498.1,0.0,0.0,0.0,5.84707
Cercivento,AC129E00001,SECAB,15.234322120769555,15.234322120769557,1.0,5.0,0.68925,0.0040953654188948,168.3,0.0,0.0,0.0,0.68925
Cervignano Del Friuli,AC001E00998,e-distribuzione,28.61617548647162,28.820432043943903,0.993,11.0,60.05733,0.5628615745079663,106.7,58.50833,0.0,1.549,0.0
Chions,AC001E00854,e-distribuzione,29.281698104663164,33.379184296482975,0.877,10.0,55.08892000000001,0.3586518229166667,153.6,55.06392,0.0,0.0,0.025
Chions,AC001E01586,e-distribuzione,3.9205278865523425,33.379184296482975,0.117,2.0,41.229,0.4535643564356435,90.9,41.229,0.0,0.0,0.0
Chiopris-Viscone,AC001E01005,e-distribuzione,4.050709707193879,8.98620423435405,0.451,2.0,14.47344,0.2091537572254335,69.2,14.47344,0.0,0.0,0.0
Chiopris-Viscone,AC001E01000,e-distribuzione,3.5207233322326235,8.98620423435405,0.392,3.0,22.937,0.2333367243133265,98.3,12.937,10.0,0.0,0.0
Chiopris-Viscone,AC001E01001,e-distribuzione,0.668787865853404,8.98620423435405,0.074,18.0,447.55024,3.2644072939460247,137.1,136.55724,310.93,0.0,0.063
Chiusaforte,AC001E01018,e-distribuzione,99.3701474415572,99.80513015972808,0.996,8.0,1.69663,0.0027886752136752,608.4,0.0,0.0,0.0,1.69663
Cimolais,AC001E01602,e-distribuzione,60.82950848513301,101.3424795476295,0.6,0.0,0.0,0.0,305.6,0.0,0.0,0.0,0.0
Cimolais,AC001E01597,e-distribuzione,28.752983645325276,101.3424795476295,0.284,0.0,0.0,0.0,229.8,0.0,0.0,0.0,0.0
Cimolais,AC001E01601,e-distribuzione,6.166892071376584,101.3424795476295,0.061,1.0,0.1978,0.0010071283095723,196.4,0.1978,0.0,0.0,0.0
Cimolais,AC001E01599,e-distribuzione,5.19447551247976,101.3424795476295,0.051,2.0,0.46238,0.0014422333125389,320.6,0.0,0.0,0.0,0.46238
Cividale Del Friuli,AC001E01009,e-distribuzione,45.84563057097572,50.854796175417555,0.902,4.0,16.10916,0.0496277264325323,324.6,16.10916,0.0,0.0,0.0
Cividale Del Friuli,AC001E01005,e-distribuzione,5.045585474876115,50.854796175417555,0.099,2.0,14.47344,0.2091537572254335,69.2,14.47344,0.0,0.0,0.0
Claut,AC001E01599,e-distribuzione,117.2464254864694,166.21250924717484,0.705,2.0,0.46238,0.0014422333125389,320.6,0.0,0.0,0.0,0.46238
Claut,AC001E01596,e-distribuzione,16.5286873239866,166.21250924717484,0.099,0.0,0.0,0.0,237.5,0.0,0.0,0.0,0.0
Claut,AC001E01601,e-distribuzione,14.535895078185883,166.21250924717484,0.087,1.0,0.1978,0.0010071283095723,196.4,0.1978,0.0,0.0,0.0
Claut,AC001E01600,e-distribuzione,12.037545154737806,166.21250924717484,0.072,0.0,0.0,0.0,455.4,0.0,0.0,0.0,0.0
Claut,AC001E01602,e-distribuzione,5.593976750562129,166.21250924717484,0.034,0.0,0.0,0.0,305.6,0.0,0.0,0.0,0.0
Clauzetto,AC001E01017,e-distribuzione,28.068960640011905,28.248675657981067,0.994,2.0,3.8489,0.0163158117846545,235.9,3.8489,0.0,0.0,0.0
Codroipo,AC001E01003,e-distribuzione,73.07978325384445,74.60906330514435,0.98,11.0,64.29962,0.2798068755439513,229.8,63.53962,0.0,0.76,0.0
Colloredo Di Monte Albano,AC001E01016,e-distribuzione,10.31023839255017,21.489643898152675,0.48,4.0,2.9529,0.0272911275415896,108.2,2.9529,0.0,0.0,0.0
Colloredo Di Monte Albano,AC001E01010,e-distribuzione,7.325016508288652,21.489643898152675,0.341,4.0,119.37,0.7305385556915545,163.4,18.12,101.25,0.0,0.0
Colloredo Di Monte Albano,AC001E01015,e-distribuzione,3.7786298507540925,21.489643898152675,0.176,1.0,111.9,0.6401601830663616,174.8,0.0,111.9,0.0,0.0
Comeglians,AC001E01021,e-distribuzione,19.407350585237268,19.523821117732766,0.994,7.0,2.93,0.0108760207869339,269.4,0.0,0.0,0.0,2.93
Cordenons,AC001E01590,e-distribuzione,31.18013508055482,57.32378834003281,0.544,4.0,3.608,0.0404938271604938,89.1,2.99,0.0,0.5,0.118
Cordenons,AC001E01591,e-distribuzione,15.00152671710307,57.32378834003281,0.262,4.0,27.23193,0.2682948768472906,101.5,16.74193,9.99,0.5,0.0
Cordenons,AC001E01592,e-distribuzione,4.961357256661043,57.32378834003281,0.087,5.0,82.5958,0.4025136452241715,205.2,80.2958,0.0,2.3,0.0
Cordovado,AC001E00854,e-distribuzione,11.879346810320294,12.262292351632453,0.969,10.0,55.08892000000001,0.3586518229166667,153.6,55.06392,0.0,0.0,0.025
Cordovado,AC001E00855,e-distribuzione,0.46392147409857304,12.262292351632453,0.038,9.0,37.73046,0.1440643757159221,261.9,37.43046,0.0,0.3,0.0
Cormons,AC001E01000,e-distribuzione,31.81705387935517,35.12221389409129,0.906,3.0,22.937,0.2333367243133265,98.3,12.937,10.0,0.0,0.0
Cormons,AC001E01005,e-distribuzione,3.1842280777092284,35.12221389409129,0.091,2.0,14.47344,0.2091537572254335,69.2,14.47344,0.0,0.0,0.0
Corno Di Rosazzo,AC001E01005,e-distribuzione,12.541520477396563,12.647919518532,0.992,2.0,14.47344,0.2091537572254335,69.2,14.47344,0.0,0.0,0.0
Coseano,AC001E01010,e-distribuzione,23.75534468740626,24.178833832102367,0.982,4.0,119.37,0.7305385556915545,163.4,18.12,101.25,0.0,0.0
Dignano,AC001E01010,e-distribuzione,15.236362302429068,27.092541569790143,0.562,4.0,119.37,0.7305385556915545,163.4,18.12,101.25,0.0,0.0
Dignano,AC001E01016,e-distribuzione,5.291623046952945,27.092541569790143,0.195,4.0,2.9529,0.0272911275415896,108.2,2.9529,0.0,0.0,0.0
Doberdo' Del Lago,AC001E00996,e-distribuzione,20.919896218865563,26.447218878943364,0.791,0.0,0.0,0.0,73.1,0.0,0.0,0.0,0.0
Doberdo' Del Lago,AC001E00999,e-distribuzione,4.951365540679933,26.447218878943364,0.187,9.0,342.5701,3.166082255083179,108.2,27.8581,314.3,0.0,0.412
Dogna,AC001E01018,e-distribuzione,69.25684602232806,69.57383742525207,0.995,8.0,1.69663,0.0027886752136752,608.4,0.0,0.0,0.0,1.69663
Dolegna Del Collio,AC001E01005,e-distribuzione,12.72060412162308,13.013450895877394,0.977,2.0,14.47344,0.2091537572254335,69.2,14.47344,0.0,0.0,0.0
Drenchia,AC001E01009,e-distribuzione,12.213166812843209,12.660277133217582,0.965,4.0,16.10916,0.0496277264325323,324.6,16.10916,0.0,0.0,0.0
Duino-Aurisina,AC001E00996,e-distribuzione,35.412976519232764,45.97023489559416,0.77,0.0,0.0,0.0,73.1,0.0,0.0,0.0,0.0
Duino-Aurisina,AC001E00994,e-distribuzione,10.011729900075466,45.97023489559416,0.218,0.0,0.0,0.0,53.7,0.0,0.0,0.0,0.0
Enemonzo,AC001E01600,e-distribuzione,13.62511271233747,23.485058587598914,0.58,0.0,0.0,0.0,455.4,0.0,0.0,0.0,0.0
Enemonzo,AC001E01019,e-distribuzione,9.794693900652105,23.485058587598914,0.417,5.0,5.84707,0.0117387472395101,498.1,0.0,0.0,0.0,5.84707
Erto E Casso,AC001E01597,e-distribuzione,51.956403427922396,52.50132718906257,0.99,0.0,0.0,0.0,229.8,0.0,0.0,0.0,0.0
Faedis,AC001E01014,e-distribuzione,27.313833398915552,46.78738951968896,0.584,4.0,8.7516,0.0326187103988073,268.3,8.5336,0.0,0.0,0.218
Faedis,AC001E01009,e-distribuzione,13.84630848991632,46.78738951968896,0.296,4.0,16.10916,0.0496277264325323,324.6,16.10916,0.0,0.0,0.0
Faedis,AC001E01012,e-distribuzione,5.380177060988542,46.78738951968896,0.115,11.0,56.42009,0.850981749622926,66.3,56.12009,0.0,0.3,0.0
Fagagna,AC001E01010,e-distribuzione,37.09034278243727,37.256017919825005,0.996,4.0,119.37,0.7305385556915545,163.4,18.12,101.25,0.0,0.0
Fanna,AC001E01592,e-distribuzione,10.136568420380538,10.136568420380542,1.0,5.0,82.5958,0.4025136452241715,205.2,80.2958,0.0,2.3,0.0
Farra D'Isonzo,AC001E01000,e-distribuzione,9.847322404729283,10.426501138914562,0.944,3.0,22.937,0.2333367243133265,98.3,12.937,10.0,0.0,0.0
Farra D'Isonzo,AC001E00999,e-distribuzione,0.5575532912155141,10.426501138914562,0.053,9.0,342.5701,3.166082255083179,108.2,27.8581,314.3,0.0,0.412
Fiume Veneto,AC001E01586,e-distribuzione,19.88526845320724,35.559284953761114,0.559,2.0,41.229,0.4535643564356435,90.9,41.229,0.0,0.0,0.0
Fiume Veneto,AC001E01590,e-distribuzione,15.561681890504822,35.559284953761114,0.438,4.0,3.608,0.0404938271604938,89.1,2.99,0.0,0.5,0.118
Fiumicello Villa Vicentina,AC001E00849,e-distribuzione,16.80782446781148,29.261354546191754,0.574,8.0,42.26344,0.3487082508250825,121.2,42.26344,0.0,0.0,0.0
Fiumicello Villa Vicentina,AC001E00998,e-distribuzione,12.382776225986476,29.261354546191754,0.423,11.0,60.05733,0.5628615745079663,106.7,58.50833,0.0,1.549,0.0
Flaibano,AC001E01003,e-distribuzione,9.653771080381516,17.19801451776473,0.561,11.0,64.29962,0.2798068755439513,229.8,63.53962,0.0,0.76,0.0
Flaibano,AC001E01010,e-distribuzione,6.735681024196836,17.19801451776473,0.392,4.0,119.37,0.7305385556915545,163.4,18.12,101.25,0.0,0.0
Fogliano Redipuglia,AC001E00999,e-distribuzione,8.325184983157751,8.325184983157751,1.0,9.0,342.5701,3.166082255083179,108.2,27.8581,314.3,0.0,0.412
Fontanafredda,AC001E01587,e-distribuzione,20.92868482794809,45.92855961777476,0.456,3.0,23.4158,0.293063829787234,79.9,23.3838,0.0,0.0,0.032
Fontanafredda,AC001E01589,e-distribuzione,19.221143497814936,45.92855961777476,0.419,2.0,0.62849,0.004460539389638,140.9,0.0,0.0,0.5,0.12849
Fontanafredda,AC001E01588,e-distribuzione,5.886842747112506,45.92855961777476,0.128,4.0,5.138,0.0478844361602982,107.3,5.01,0.0,0.0,0.128
Forgaria Nel Friuli,AC001E01017,e-distribuzione,26.965519936235328,29.234165993075692,0.922,2.0,3.8489,0.0163158117846545,235.9,3.8489,0.0,0.0,0.0
Forni Avoltri,AC001E01021,e-distribuzione,77.71546096411724,81.13207734748735,0.958,7.0,2.93,0.0108760207869339,269.4,0.0,0.0,0.0,2.93
Forni Avoltri,AC001E01603,e-distribuzione,3.039604503441571,81.13207734748735,0.037,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0
Forni Di Sopra,AC001E01601,e-distribuzione,80.07041149575655,80.34462853751575,0.997,1.0,0.1978,0.0010071283095723,196.4,0.1978,0.0,0.0,0.0
Forni Di Sotto,AC001E01600,e-distribuzione,93.85343329760738,94.09392405159575,0.997,0.0,0.0,0.0,455.4,0.0,0.0,0.0,0.0
Frisanco,AC001E01599,e-distribuzione,38.65396607896379,61.24397054318047,0.631,2.0,0.46238,0.0014422333125389,320.6,0.0,0.0,0.0,0.46238
Frisanco,AC001E01592,e-distribuzione,22.559171055003223,61.24397054318047,0.368,5.0,82.5958,0.4025136452241715,205.2,80.2958,0.0,2.3,0.0
Gemona Del Friuli,AC001E01015,e-distribuzione,54.502859173248815,56.297021772435286,0.968,1.0,111.9,0.6401601830663616,174.8,0.0,111.9,0.0,0.0
Gonars,AC001E01001,e-distribuzione,20.040948300087656,20.04723873458814,1.0,18.0,447.55024,3.2644072939460247,137.1,136.55724,310.93,0.0,0.063
Gorizia,AC003E00003,AcegasApsAmga,40.37899210522338,41.09000790100241,0.983,1.0,1.983,0.0480145278450363,41.3,0.0,0.0,0.0,1.983
Gradisca D'Isonzo,AC001E00999,e-distribuzione,11.195600803933402,11.213713603320905,0.998,9.0,342.5701,3.166082255083179,108.2,27.8581,314.3,0.0,0.412
Grado,AC001E00849,e-distribuzione,53.50033332938503,118.95926916447029,0.45,8.0,42.26344,0.3487082508250825,121.2,42.26344,0.0,0.0,0.0
Grimacco,AC001E01009,e-distribuzione,15.901059993207365,16.33878943515335,0.973,4.0,16.10916,0.0496277264325323,324.6,16.10916,0.0,0.0,0.0
Latisana,AC001E00855,e-distribuzione,25.416575260879053,37.80037032141233,0.672,9.0,37.73046,0.1440643757159221,261.9,37.43046,0.0,0.3,0.0
Latisana,AC001E00848,e-distribuzione,11.846690910129874,37.80037032141233,0.313,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0
Lauco,AC001E01021,e-distribuzione,17.40964776463993,34.55051137978376,0.504,7.0,2.93,0.0108760207869339,269.4,0.0,0.0,0.0,2.93
Lauco,AC001E01019,e-distribuzione,17.05515316341221,34.55051137978376,0.494,5.0,5.84707,0.0117387472395101,498.1,0.0,0.0,0.0,5.84707
Lestizza,AC001E01002,e-distribuzione,24.220880554243994,34.07421678642956,0.711,7.0,44.5406,0.2423318824809575,183.8,44.2906,0.0,0.25,0.0
Lestizza,AC001E01003,e-distribuzione,9.793470359891092,34.07421678642956,0.287,11.0,64.29962,0.2798068755439513,229.8,63.53962,0.0,0.76,0.0
Lignano Sabbiadoro,AC001E00848,e-distribuzione,14.732315140464303,16.031920375568813,0.919,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0
Lusevera,AC001E01018,e-distribuzione,22.37560797065972,52.008089043607605,0.43,8.0,1.69663,0.0027886752136752,608.4,0.0,0.0,0.0,1.69663
Lusevera,AC001E01014,e-distribuzione,18.11885566913933,52.008089043607605,0.348,4.0,8.7516,0.0326187103988073,268.3,8.5336,0.0,0.0,0.218
Lusevera,AC001E01015,e-distribuzione,11.506552438868301,52.008089043607605,0.221,1.0,111.9,0.6401601830663616,174.8,0.0,111.9,0.0,0.0
Magnano In Riviera,AC001E01015,e-distribuzione,8.22654155167634,8.61320168573474,0.955,1.0,111.9,0.6401601830663616,174.8,0.0,111.9,0.0,0.0
Magnano In Riviera,AC001E01014,e-distribuzione,0.38659090702402404,8.61320168573474,0.045,4.0,8.7516,0.0326187103988073,268.3,8.5336,0.0,0.0,0.218
Majano,AC001E01016,e-distribuzione,27.930755782871362,28.36552561739369,0.985,4.0,2.9529,0.0272911275415896,108.2,2.9529,0.0,0.0,0.0
Malborghetto Valbruna,AC001E01020,e-distribuzione,119.88326473458358,124.43474501625664,0.963,5.0,0.232,0.0007019667170953,330.5,0.0,0.0,0.0,0.232
Malborghetto Valbruna,AC001E01018,e-distribuzione,4.283142017043759,124.43474501625664,0.034,8.0,1.69663,0.0027886752136752,608.4,0.0,0.0,0.0,1.69663
Maniago,AC001E01592,e-distribuzione,67.80547894236174,69.33726031753562,0.978,5.0,82.5958,0.4025136452241715,205.2,80.2958,0.0,2.3,0.0
Manzano,AC001E01006,e-distribuzione,29.754279072781237,30.382859820700034,0.979,11.0,73.47865,0.96050522875817,76.5,73.47865,0.0,0.0,0.0
Marano Lagunare,AC001E00997,e-distribuzione,6.671894614662866,85.5239800229501,0.078,7.0,318.32444000000004,2.471463043478261,128.8,134.74644,182.579,0.999,0.0
Marano Lagunare,AC001E00848,e-distribuzione,3.1727134812116438,85.5239800229501,0.037,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0
Marano Lagunare,AC001E00855,e-distribuzione,2.832365194606473,85.5239800229501,0.033,9.0,37.73046,0.1440643757159221,261.9,37.43046,0.0,0.3,0.0
Mariano Del Friuli,AC001E01000,e-distribuzione,8.30330904579537,8.35639785907231,0.994,3.0,22.937,0.2333367243133265,98.3,12.937,10.0,0.0,0.0
Martignacco,AC001E01008,e-distribuzione,16.44581827897746,26.797136333086076,0.614,9.0,272.09524,2.762388223350254,98.5,19.09524,253.0,0.0,0.0
Martignacco,AC001E01010,e-distribuzione,10.261563535676325,26.797136333086076,0.383,4.0,119.37,0.7305385556915545,163.4,18.12,101.25,0.0,0.0
Medea,AC001E01000,e-distribuzione,7.263382186554563,7.460786112359881,0.974,3.0,22.937,0.2333367243133265,98.3,12.937,10.0,0.0,0.0
Medea,AC001E00999,e-distribuzione,0.1911524766793684,7.460786112359881,0.026,9.0,342.5701,3.166082255083179,108.2,27.8581,314.3,0.0,0.412
Meduno,AC001E01017,e-distribuzione,26.540390396089254,31.327978669626013,0.847,2.0,3.8489,0.0163158117846545,235.9,3.8489,0.0,0.0,0.0
Meduno,AC001E01592,e-distribuzione,4.231842980486113,31.327978669626013,0.135,5.0,82.5958,0.4025136452241715,205.2,80.2958,0.0,2.3,0.0
Mereto Di Tomba,AC001E01010,e-distribuzione,16.554366264427312,27.31321045181279,0.606,4.0,119.37,0.7305385556915545,163.4,18.12,101.25,0.0,0.0
Mereto Di Tomba,AC001E01003,e-distribuzione,10.75884985508384,27.31321045181279,0.394,11.0,64.29962,0.2798068755439513,229.8,63.53962,0.0,0.76,0.0
Moggio Udinese,AC001E01018,e-distribuzione,136.07061955395417,143.96030413348868,0.945,8.0,1.69663,0.0027886752136752,608.4,0.0,0.0,0.0,1.69663
Moggio Udinese,AC001E01019,e-distribuzione,7.716715760580093,143.96030413348868,0.054,5.0,5.84707,0.0117387472395101,498.1,0.0,0.0,0.0,5.84707
Moimacco,AC001E01009,e-distribuzione,11.600487717930626,11.76845869316154,0.986,4.0,16.10916,0.0496277264325323,324.6,16.10916,0.0,0.0,0.0
Monfalcone,AC001E00996,e-distribuzione,10.92677749043326,20.776447845542915,0.526,0.0,0.0,0.0,73.1,0.0,0.0,0.0,0.0
Monfalcone,AC001E00995,e-distribuzione,8.395599067091007,20.776447845542915,0.404,4.0,36.29922,0.9452921875,38.4,35.999219999999994,0.0,0.3,0.0
Monrupino,AC001E00994,e-distribuzione,12.445530649393989,12.611181564060077,0.987,0.0,0.0,0.0,53.7,0.0,0.0,0.0,0.0
Montenars,AC001E01015,e-distribuzione,20.54628829888569,20.69564241318771,0.993,1.0,111.9,0.6401601830663616,174.8,0.0,111.9,0.0,0.0
Montereale Valcellina,AC001E01593,e-distribuzione,41.91335908997556,67.86344151796196,0.618,0.0,0.0,0.0,113.2,0.0,0.0,0.0,0.0
Montereale Valcellina,AC001E01599,e-distribuzione,10.727154835596554,67.86344151796196,0.158,2.0,0.46238,0.0014422333125389,320.6,0.0,0.0,0.0,0.46238
Montereale Valcellina,AC001E01591,e-distribuzione,8.63122590201207,67.86344151796196,0.127,4.0,27.23193,0.2682948768472906,101.5,16.74193,9.99,0.5,0.0
Montereale Valcellina,AC001E01592,e-distribuzione,5.080652475537906,67.86344151796196,0.075,5.0,82.5958,0.4025136452241715,205.2,80.2958,0.0,2.3,0.0
Moraro,AC001E01000,e-distribuzione,3.4911264843029137,3.4911264843029133,1.0,3.0,22.937,0.2333367243133265,98.3,12.937,10.0,0.0,0.0
Morsano Al Tagliamento,AC001E00855,e-distribuzione,20.73500635208265,32.21264319641077,0.644,9.0,37.73046,0.1440643757159221,261.9,37.43046,0.0,0.3,0.0
Morsano Al Tagliamento,AC001E01004,e-distribuzione,10.158216987741222,32.21264319641077,0.315,3.0,17.759999999999998,0.1314581791265729,135.1,7.26,10.0,0.5,0.0
Mortegliano,AC001E01002,e-distribuzione,29.607087110179517,29.973622476874883,0.988,7.0,44.5406,0.2423318824809575,183.8,44.2906,0.0,0.25,0.0
Moruzzo,AC001E01010,e-distribuzione,17.810878066855427,17.86205759580657,0.997,4.0,119.37,0.7305385556915545,163.4,18.12,101.25,0.0,0.0
Mossa,AC001E01000,e-distribuzione,6.062505257692397,6.166804401980649,0.983,3.0,22.937,0.2333367243133265,98.3,12.937,10.0,0.0,0.0
Muggia,AC001E00993,e-distribuzione,13.077306335212798,13.5191274326449,0.967,1.0,8.8,0.2309711286089238,38.1,8.8,0.0,0.0,0.0
Muzzana Del Turgnano,AC001E00997,e-distribuzione,19.457585777848717,24.28894860980259,0.801,7.0,318.32444000000004,2.471463043478261,128.8,134.74644,182.579,0.999,0.0
Muzzana Del Turgnano,AC001E01002,e-distribuzione,4.723014523353386,24.28894860980259,0.194,7.0,44.5406,0.2423318824809575,183.8,44.2906,0.0,0.25,0.0
